sample,waypoint_x,waypoint_y,actual_x,actual_y,temperature,krause_mi_gain,mean_variance
1,23.0,2.0,-0.019275365,0.6125784,20.38495635986328,2.829179660218833,17.256147384643555
2,11.0,21.0,22.51446,1.9496294,20.248836517333984,2.829179183381675,15.725688934326172
3,25.0,25.0,11.482377,20.26371,22.98080062866211,2.8281263269363617,13.543455123901367
4,0.0,15.0,24.47773,24.82988,20.292882919311523,2.824096099275229,12.7744722366333
5,12.0,8.0,0.8739472,15.312962,20.353031158447266,2.815155402558922,11.418633460998535
6,22.0,14.0,11.294791,8.40587,27.024646759033203,2.8015459932266467,9.353349685668945
7,0.0,24.0,21.515892,13.689638,22.10390281677246,2.773452655213948,7.771618843078613
8,13.0,1.0,0.91308874,23.598549,19.869985580444336,2.6993693269668775,7.132164478302002
9,3.0,7.0,12.800097,1.4295492,20.765159606933594,2.565451518434166,6.354108810424805
10,18.0,25.0,3.4474921,6.7030606,21.17034912109375,2.573294536012291,5.6176886558532715
11,25.0,8.0,17.653189,24.570646,20.150814056396484,2.500574962037682,5.148746490478516
12,8.0,25.0,24.833708,8.445689,20.50115203857422,2.4856747545181435,4.829092025756836
13,17.0,7.0,8.320001,24.627676,20.180200576782227,2.349573985475189,4.5241827964782715
14,6.0,0.0,16.761055,7.4191346,24.139930725097656,2.411156550782792,4.068790435791016
15,25.0,18.0,6.40128,0.2660516,20.118337631225586,2.362082377809166,3.8273117542266846
16,7.0,14.0,24.618853,17.723434,20.207355499267578,2.313389674562096,3.6103403568267822
17,15.0,14.0,7.4558415,14.135847,25.567264556884766,2.172873393434159,3.1871302127838135
18,0.0,10.0,14.479027,13.955687,28.528474807739258,2.071864024537689,2.8784115314483643
19,19.0,19.0,0.84271276,10.199171,20.56414222717285,2.0543908037124794,2.777303457260132
20,19.0,0.0,18.451557,18.771893,22.173383712768555,1.986168757814049,2.5947816371917725
21,7.0,20.0,19.00805,0.6076541,20.434911727905273,1.8472088731704943,2.5101821422576904
22,24.0,0.0,7.2302575,19.576805,22.09280014038086,1.7428635515152209,2.378474235534668
23,0.0,5.0,23.640272,0.46531972,20.11386489868164,1.7066449083267443,2.339909315109253
24,5.0,25.0,0.81883025,4.8469615,20.062795639038086,1.447705165284745,2.298675298690796
25,25.0,13.0,4.910475,24.528862,20.532146453857422,1.4781273759781115,2.2591960430145264
26,10.0,4.0,24.256207,13.457648,20.55389404296875,1.3596199907242053,2.2102906703948975
27,14.0,25.0,10.421992,4.2301908,22.501596450805664,1.4008644975601428,2.1243655681610107
28,25.0,3.0,13.89418,24.519915,20.522075653076172,1.2562474168716662,1.9499104022979736
29,0.0,25.0,24.813368,3.4449944,20.135196685791016,1.321555034059159,1.5921686887741089
30,22.0,22.0,0.38382182,24.614866,20.385225296020508,1.246382609742767,1.6894323825836182
31,22.0,8.0,21.19525,22.14287,20.17475700378418,1.110772029298417,1.8026484251022339
32,4.0,12.0,22.016085,8.703292,21.3716983795166,1.0626324571548622,1.5245708227157593
33,0.0,20.0,4.620176,11.854065,22.708995819091797,1.1963833726822202,1.4576512575149536
34,2.0,0.0,0.21764791,19.530428,20.246742248535156,1.0305451311050575,1.4044299125671387
35,25.0,21.0,1.9398451,0.49702543,20.167720794677734,0.9859570421157997,1.3890691995620728
36,16.0,3.0,24.645994,20.639244,20.092391967773438,0.9318360246597592,1.1543656587600708
37,4.0,18.0,16.357292,3.6673672,21.75914764404297,0.8973091997085874,0.9698758721351624
38,8.0,8.0,4.4404426,17.427582,21.564239501953125,0.76548470630037,0.7598258256912231
39,6.0,4.0,7.5482616,9.057722,24.942764282226562,0.74253548755037,0.7239693999290466
